v0,v1,v2
431,661,286
506,845,9
426,940,123
871,961,461
545,11,102
710,314,87
752,155,605
912,4,794
338,325,7
999,47,953
164,630,22
121,223,69
807,454,707
318,595,309
357,91,154
18,152,408
46,997,479
109,806,671
7,65,9
348,846,289
85,792,742
396,647,422
989,174,15
526,604,566
334,531,516
442,580,501
872,534,544
545,679,5
985,793,444
28,583,200
393,522,196
421,682,278
469,833,339
538,379,184
547,425,447
966,19,99
505,991,148
14,915,376
632,515,588
411,623,238
17,228,4
107,733,108
654,825,158
477,704,297
494,732,192
27,131,62
178,131,237
117,363,291
912,17,4
576,92,641
346,855,847
70,238,42
749,82,366
731,673,842
442,501,455
263,574,10
730,283,591
980,187,155
615,605,187
144,723,140
163,428,853
76,102,255
964,871,461
724,902,271
60,160,427
626,874,476
168,749,315
53,135,242
257,745,242
505,376,55
62,534,27
904,924,279
18,828,152
151,701,670
134,60,284
53,627,881
450,231,430
310,368,50
808,113,489
929,822,897
372,386,680
519,579,222
11,545,46
341,794,4
813,586,577
416,231,203
474,633,373
71,746,429
459,585,49
273,736,713
231,958,430
68,924,341
620,975,251
63,451,152
99,697,237
178,778,131
849,357,330
242,423,53
316,275,327
259,521,129
149,915,14
567,876,476
359,892,300
408,756,18
126,950,138
794,958,997
735,98,354
66,697,421
618,796,366
371,835,791
160,60,134
559,565,8
539,611,361
137,599,528
62,52,193
370,784,885
18,897,828
716,761,369
998,88,291
186,708,696
555,599,137
325,478,7
89,890,278
778,711,52
685,818,529
852,631,651
668,641,92
92,986,370
69,437,744
854,172,731
550,928,410
134,882,409
600,729,48
337,526,77
51,451,350
619,902,716
7,9,73
142,171,388
858,861,573
248,292,848
334,496,133
835,301,791
607,473,568
32,1001,328
262,337,77
758,978,244
492,351,264
327,960,71
590,212,112
133,823,334
300,833,359
423,476,343
33,669,596
655,445,471
241,266,714
589,83,530
70,336,238
347,161,14
928,572,106
743,755,764
86,921,282
296,983,352
86,45,124
87,904,288
924,314,341
27,486,64
117,291,40
551,79,196
890,89,275
613,291,138
912,90,457
263,688,574
172,678,290
308,510,117
370,885,668
469,827,833
397,407,415
555,348,94
3,555,94
328,520,32
676,328,686
311,757,417
119,344,592
27,64,162
140,540,144
175,622,98
96,307,98
195,254,201
693,97,162
245,306,265
383,834,507
543,21,470
754,775,166
76,248,102
583,57,200
274,440,453
184,927,103
195,201,6
664,836,604
105,249,272
100,868,829
106,84,148
571,971,810
251,378,41
733,360,350
539,412,233
733,107,360
1002,261,765
806,181,671
215,142,271
967,72,519
45,282,271
563,736,587
202,723,190
389,561,240
935,947,987
489,985,444
165,695,802
978,758,119
269,795,657
420,581,78
452,822,527
491,44,181
576,642,92
126,138,355
26,170,214
94,586,3
578,727,259
344,98,307
217,659,892
345,920,123
681,684,445
379,901,127
548,738,216
216,229,122
803,830,44
345,559,8
45,110,124
110,902,124
801,480,658
455,326,442
355,719,126
497,25,264
332,932,320
405,422,75
352,921,86
215,800,968
855,613,584
606,866,536
130,891,865
891,427,725
131,52,62
324,458,27
132,196,79
54,590,79
771,856,531
531,210,516
226,913,83
465,913,226
38,588,745
37,700,53
449,264,351
420,78,205
737,12,111
909,478,786
799,117,510
948,986,414
995,54,79
551,196,364
202,974,723
805,19,774
498,669,208
388,894,454
72,194,333
76,637,525
614,926,289
212,974,112
140,805,774
147,560,145
145,101,189
330,384,939
801,819,455
511,726,502
34,474,543
376,505,347
484,635,218
22,630,14
725,427,160
39,690,81
630,149,14
706,941,416
313,416,151
260,620,251
438,797,514
340,650,6
811,390,595
678,689,384
241,714,91
425,547,615
298,928,106
717,967,350
717,350,451
724,142,157
807,935,454
115,286,466
812,864,546
159,818,100
105,272,829
160,409,191
409,243,191
347,884,161
161,22,14
391,877,64
97,324,162
163,691,268
603,36,609
22,585,164
573,770,136
536,767,606
468,705,145
729,888,232
373,754,329
159,100,677
552,618,366
82,749,168
377,462,287
169,577,568
214,436,47
3,718,26
215,171,142
481,845,764
475,878,574
698,263,10
540,774,250
250,934,540
301,989,15
564,929,239
31,354,622
727,860,931
653,586,289
