x,y,z
-79.8066,0,-3.99121
79.8027,0,-3.99121
-0.00195312,0,79.8037
-1.35449,0.229167,1.76855
-1.6123,0.333333,0.551758
-1.88379,0.491767,0.643555
-0.00488281,0.458333,-0.0673828
-0.418945,0.5,1.89551
0.282227,0.602697,1.08105
-0.405273,0.479167,1.84473
1.27441,0.5,-0.243164
-1.94238,0.427383,0.821289
-0.739258,0.173965,1.40137
-1.72754,0.395833,1.99316
0.461914,0.354167,1.82129
0.0341797,0.582142,0.196289
0.901367,0.413386,0.629883
-1.64746,0.398371,0.487305
-0.543945,0.25,0.598633
-0.586914,0.292227,-0.733398
0.165039,0.541783,0.541992
1.93066,0.494166,-1.12012
0.295898,0.354167,1.8877
1.6123,0.229167,1.0791
-1.22754,0.291667,0.676758
-1.7334,0.1875,-0.854492
-1.37402,0.25,1.43066
-0.831055,0.25,-0.444336
-1.84668,0.416667,0.473633
-1.20996,0.354167,-0.293945
0.854492,0.458333,0.77832
-0.99707,0.479167,-1.93652
0.625977,0.357818,-0.831055
1.7627,0.158656,1.53809
1.76465,0.550032,-1.12598
-1.89355,0.4938,1.48535
0.166992,0.5625,1.3252
1.15918,0.321546,0.813477
1.74316,0.208333,0.983398
1.62598,0.291667,1.83887
-1.22168,0.333333,-0.208008
-1.28223,0.354167,0.797852
1.22754,0.302245,1.15918
-1.53223,0.447444,0.905273
-0.200195,0.23522,1.0127
-0.295898,0.242827,1.4873
-1.84473,0.458333,0.760742
-1.63965,0.431785,1.32324
0.711914,0.395833,-1.79785
-0.225586,0.25,1.96387
-1.42676,0.385801,0.776367
-0.686523,0.229167,0.84668
-0.450195,0.291436,0.0498047
1.33496,0.25,0.993164
-0.317383,0.470082,-1.5498
0.52832,0.229167,1.78809
-0.0439453,0.541667,0.37793
-1.9834,0.228725,0.170898
-0.700195,0.604167,-1.62207
0.780273,0.608231,0.0947266
0.491211,0.570426,1.1748
-1.23535,0.25,1.19434
-0.756836,0.228626,0.12793
-0.573242,0.229167,0.805664
-1.02441,0.348831,-0.557617
-0.448242,0.439835,1.89551
-0.0283203,0.375147,-0.477539
1.05371,0.479167,-0.977539
-1.46777,0.270833,0.53418
1.13965,0.520833,0.120117
1.09473,0.354167,1.28809
0.510742,0.408127,-1.63965
-0.555664,0.145833,1.2627
-0.399414,0.467009,1.85059
-1.86816,0.277021,-1.45605
0.374023,0.669069,0.508789
-1.99316,0.4375,1.61035
0.55957,0.357722,-0.682617
-1.71582,0.479167,-1.7666
-0.188477,0.510803,-1.82324
0.194336,0.545539,0.577148
1.50488,0.266093,1.58105
0.969727,0.409223,0.606445
0.575195,0.662368,0.963867
0.686523,0.125,1.9873
-0.241211,0.291667,1.80762
-0.272461,0.251419,1.46387
-1.36816,0.303162,0.645508
-1.21582,0.416667,-0.331055
0.354492,0.356013,-1.30371
-1.72754,0.456131,0.422852
1.18652,0.434484,0.579102
-1.6377,0.466153,0.333008
0.428711,0.6436,0.926758
-1.37207,0.229167,1.80371
0.821289,0.479167,-0.52832
-0.666992,0.530248,-1.80762
-0.762695,0.3125,-0.645508
-0.723633,0.509364,-1.79785
-0.493164,0.339242,-0.731445
1.27637,0.5,-1.22949
1.9502,0.614324,-1.32324
-1.97949,0.377837,1.10059
0.407227,0.5,-0.208008
0.0966797,0.417862,-0.229492
1.16699,0.38035,-1.4502
0.750977,0.25,1.97363
-0.856445,0.166667,1.16504
-0.915039,0.131159,1.18262
-0.0205078,0.374926,1.23145
-0.311523,0.229167,1.46777
-0.62793,0.25,1.42676
-0.463867,0.520833,-1.45215
-0.836914,0.125,1.37793
-0.708008,0.660727,-1.38574
-1.8584,0.698654,-1.94238
-0.266602,0.291667,0.834961
-1.24707,0.318724,-0.166992
-1.69434,0.458333,1.37988
-0.733398,0.583333,-1.6084
-0.0146484,0.369137,1.12988
